Date,Store ID,Product ID,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion
2022-01-02,S002,P0020,78,64.99,0,Sunny,1
2022-01-02,S003,P0001,114,73.48,10,Cloudy,0
2022-01-02,S003,P0002,2,87.5,0,Rainy,0
2022-01-02,S003,P0003,7,88.68,20,Cloudy,1
2022-01-02,S003,P0004,54,82.36,20,Snowy,0
2022-01-02,S003,P0005,282,38.56,5,Cloudy,0
2022-01-02,S003,P0006,93,97.74,0,Cloudy,0
2022-01-02,S003,P0007,85,37.68,15,Cloudy,0
2022-01-02,S003,P0008,136,36.03,5,Rainy,0
2022-01-02,S003,P0009,140,88.97,0,Snowy,1
2022-01-02,S003,P0010,79,16.48,10,Cloudy,1
2022-01-02,S003,P0011,106,58.37,10,Cloudy,1
2022-01-02,S003,P0012,1,27.86,5,Snowy,1
2022-01-02,S003,P0013,203,39.14,5,Rainy,1
2022-01-02,S003,P0014,368,66.51,0,Cloudy,0
2022-01-02,S003,P0015,286,89.65,20,Snowy,0
2022-01-02,S003,P0016,69,86.7,20,Rainy,0
2022-01-02,S003,P0017,52,29.69,20,Snowy,0
2022-01-02,S003,P0018,109,86.93,10,Rainy,1
2022-01-02,S003,P0019,50,59.33,10,Cloudy,0
2022-01-02,S003,P0020,0,57.07,10,Rainy,1
2022-01-02,S004,P0001,22,74.16,15,Rainy,0
2022-01-02,S004,P0002,45,59.38,0,Sunny,1
2022-01-02,S004,P0003,89,48.18,0,Sunny,1
2022-01-02,S004,P0004,209,94.75,20,Snowy,0
2022-01-02,S004,P0005,4,60.89,5,Sunny,0
2022-01-02,S004,P0006,47,14.71,5,Cloudy,0
2022-01-02,S004,P0007,115,33.09,10,Rainy,0
2022-01-02,S004,P0008,27,98.75,15,Snowy,0
2022-01-02,S004,P0009,90,12.4,20,Snowy,0
2022-01-02,S004,P0010,206,92.01,15,Snowy,1
2022-01-02,S004,P0011,328,92.12,20,Sunny,1
2022-01-02,S004,P0012,155,37.39,20,Sunny,0
2022-01-02,S004,P0013,184,85.35,10,Rainy,1
2022-01-02,S004,P0014,16,82.64,0,Cloudy,0
2022-01-02,S004,P0015,90,92.19,10,Snowy,1
2022-01-02,S004,P0016,178,61.41,0,Sunny,0
2022-01-02,S004,P0017,256,96.47,20,Cloudy,0
2022-01-02,S004,P0018,27,89.33,0,Sunny,0
2022-01-02,S004,P0019,67,59.49,20,Rainy,1
2022-01-02,S004,P0020,84,73.05,15,Sunny,1
2022-01-02,S005,P0001,67,67.49,5,Sunny,0
2022-01-02,S005,P0002,15,66.05,10,Sunny,1
2022-01-02,S005,P0003,333,80.88,20,Rainy,1
2022-01-02,S005,P0004,56,60.5,10,Cloudy,1
2022-01-02,S005,P0005,165,71.72,20,Rainy,0
2022-01-02,S005,P0006,54,69.21,15,Rainy,1
2022-01-02,S005,P0007,93,70.69,20,Snowy,0
2022-01-02,S005,P0008,250,63.54,15,Cloudy,0
2022-01-02,S005,P0009,90,78.08,10,Sunny,0
2022-01-02,S005,P0010,83,43.09,10,Sunny,1
2022-01-02,S005,P0011,16,25.67,5,Sunny,1
2022-01-02,S005,P0012,87,38.59,20,Rainy,0
2022-01-02,S005,P0013,241,57.99,5,Sunny,0
2022-01-02,S005,P0014,286,14.65,20,Snowy,1
2022-01-02,S005,P0015,60,63.26,0,Rainy,1
2022-01-02,S005,P0016,437,43.64,15,Cloudy,1
2022-01-02,S005,P0017,377,84.85,20,Sunny,1
2022-01-02,S005,P0018,83,47.05,15,Rainy,1
2022-01-02,S005,P0019,203,76.83,20,Snowy,0
2022-01-02,S005,P0020,183,93.95,10,Sunny,1
2022-01-03,S001,P0001,5,62.7,20,Rainy,0
2022-01-03,S001,P0002,199,54.02,0,Cloudy,0
2022-01-03,S001,P0003,176,26.03,10,Rainy,0
2022-01-03,S001,P0004,214,10.19,0,Cloudy,1
2022-01-03,S001,P0005,165,95.54,0,Sunny,0
2022-01-03,S001,P0006,9,57.65,5,Sunny,0
2022-01-03,S001,P0007,140,87.85,20,Sunny,0
2022-01-03,S001,P0008,177,53.94,5,Snowy,0
2022-01-03,S001,P0009,217,61.42,20,Sunny,0
2022-01-03,S001,P0010,47,99.14,10,Snowy,0
2022-01-03,S001,P0011,3,60.52,0,Cloudy,0
2022-01-03,S001,P0012,2,86.93,15,Cloudy,0
2022-01-03,S001,P0013,18,83.11,10,Snowy,1
2022-01-03,S001,P0014,242,32.28,10,Rainy,1
2022-01-03,S001,P0015,228,52.17,10,Sunny,1
2022-01-03,S001,P0016,31,93.61,15,Snowy,1
2022-01-03,S001,P0017,16,98.25,5,Sunny,0
2022-01-03,S001,P0018,20,78.53,5,Rainy,0
2022-01-03,S001,P0019,193,56.91,0,Sunny,1
2022-01-03,S001,P0020,118,35.32,20,Cloudy,1
2022-01-03,S002,P0001,96,48.08,0,Rainy,1
2022-01-03,S002,P0002,48,46.95,15,Snowy,1
2022-01-03,S002,P0003,130,94.45,20,Cloudy,1
2022-01-03,S002,P0004,11,27.28,10,Snowy,1
2022-01-03,S002,P0005,313,29.74,0,Snowy,1
2022-01-03,S002,P0006,352,27.64,5,Snowy,0
2022-01-03,S002,P0007,265,60.54,5,Rainy,0
2022-01-03,S002,P0008,11,58.55,10,Cloudy,0
2022-01-03,S002,P0009,191,58.59,0,Cloudy,0
2022-01-03,S002,P0010,185,95.48,0,Rainy,1
2022-01-03,S002,P0011,143,37.81,20,Snowy,1
2022-01-03,S002,P0012,85,48.7,10,Rainy,0
2022-01-03,S002,P0013,270,65.89,10,Cloudy,0
2022-01-03,S002,P0014,233,20.37,0,Rainy,1
2022-01-03,S002,P0015,187,46.25,0,Snowy,0
2022-01-03,S002,P0016,39,71.74,10,Rainy,0
2022-01-03,S002,P0017,234,20.57,10,Rainy,1
2022-01-03,S002,P0018,213,29.88,20,Rainy,1
2022-01-03,S002,P0019,55,73.98,15,Rainy,1
2022-01-03,S002,P0020,22,45.02,10,Sunny,0
2022-01-03,S003,P0001,100,82.88,10,Sunny,1
2022-01-03,S003,P0002,353,17.36,0,Cloudy,1
2022-01-03,S003,P0003,255,42.7,20,Snowy,0
2022-01-03,S003,P0004,154,89.67,15,Sunny,0
2022-01-03,S003,P0005,147,65.77,0,Cloudy,1
2022-01-03,S003,P0006,342,95.74,10,Cloudy,0
2022-01-03,S003,P0007,54,98.9,0,Cloudy,0
2022-01-03,S003,P0008,289,41.11,15,Cloudy,0
2022-01-03,S003,P0009,179,42.07,0,Snowy,1
2022-01-03,S003,P0010,175,95.89,0,Rainy,1
2022-01-03,S003,P0011,209,84.12,5,Sunny,0
2022-01-03,S003,P0012,109,71.21,20,Rainy,1
2022-01-03,S003,P0013,43,49.23,0,Rainy,1
2022-01-03,S003,P0014,58,21.87,10,Rainy,1
2022-01-03,S003,P0015,399,60.83,0,Cloudy,1
2022-01-03,S003,P0016,95,56.78,20,Rainy,0
2022-01-03,S003,P0017,296,76.12,5,Snowy,0
2022-01-03,S003,P0018,105,98.9,10,Sunny,0
2022-01-03,S003,P0019,103,46.24,5,Cloudy,0
2022-01-03,S003,P0020,131,16.35,15,Cloudy,0
2022-01-03,S004,P0001,66,83.63,15,Sunny,0
2022-01-03,S004,P0002,163,81.57,0,Cloudy,1
2022-01-03,S004,P0003,98,44.68,10,Snowy,0
2022-01-03,S004,P0004,150,60.11,0,Rainy,1
2022-01-03,S004,P0005,15,24.63,20,Snowy,0
2022-01-03,S004,P0006,36,36.31,5,Cloudy,1
2022-01-03,S004,P0007,303,11.36,15,Cloudy,1
2022-01-03,S004,P0008,209,63.1,10,Rainy,1
2022-01-03,S004,P0009,69,30.82,20,Sunny,0
2022-01-03,S004,P0010,143,23.73,0,Snowy,0
2022-01-03,S004,P0011,239,29.49,5,Sunny,0
2022-01-03,S004,P0012,192,74.42,15,Cloudy,1
2022-01-03,S004,P0013,23,58.3,20,Rainy,1
2022-01-03,S004,P0014,165,60.58,0,Sunny,1
2022-01-03,S004,P0015,85,73.48,0,Rainy,0
2022-01-03,S004,P0016,79,16.18,10,Cloudy,0
2022-01-03,S004,P0017,33,38.52,15,Rainy,0
2022-01-03,S004,P0018,270,46.93,0,Snowy,0
2022-01-03,S004,P0019,1,80.41,0,Snowy,0
2022-01-03,S004,P0020,149,95.33,20,Cloudy,0
2022-01-03,S005,P0001,3,36.3,0,Snowy,0
2022-01-03,S005,P0002,59,82.08,10,Sunny,1
2022-01-03,S005,P0003,15,46.4,20,Snowy,0
2022-01-03,S005,P0004,351,59.76,5,Cloudy,0
2022-01-03,S005,P0005,66,60.35,20,Sunny,1
2022-01-03,S005,P0006,62,40.61,10,Snowy,1
2022-01-03,S005,P0007,77,63.61,5,Rainy,1
2022-01-03,S005,P0008,177,97.09,5,Snowy,1
2022-01-03,S005,P0009,349,52.72,10,Sunny,0
2022-01-03,S005,P0010,74,14.41,20,Sunny,1
2022-01-03,S005,P0011,40,74.14,0,Cloudy,1
2022-01-03,S005,P0012,72,46.94,20,Rainy,1
2022-01-03,S005,P0013,190,23.04,5,Snowy,0
2022-01-03,S005,P0014,263,28.02,5,Sunny,1
2022-01-03,S005,P0015,126,86.82,20,Cloudy,0
2022-01-03,S005,P0016,17,80.31,5,Cloudy,1
2022-01-03,S005,P0017,19,41.28,10,Rainy,0
2022-01-03,S005,P0018,36,38.42,0,Snowy,1
2022-01-03,S005,P0019,207,59.93,20,Snowy,0
2022-01-03,S005,P0020,91,66.76,5,Sunny,0
2022-01-04,S001,P0001,58,77.88,15,Cloudy,1
2022-01-04,S001,P0002,91,88.22,15,Sunny,1
2022-01-04,S001,P0003,70,10.55,15,Cloudy,0
2022-01-04,S001,P0004,0,44.81,5,Sunny,1
2022-01-04,S001,P0005,32,69.65,10,Snowy,0
2022-01-04,S001,P0006,8,53.35,20,Cloudy,0
2022-01-04,S001,P0007,341,33.47,5,Cloudy,0
2022-01-04,S001,P0008,347,61.1,20,Sunny,0
2022-01-04,S001,P0009,15,45.25,10,Sunny,0
2022-01-04,S001,P0010,85,94.98,20,Rainy,0
2022-01-04,S001,P0011,30,24.21,0,Sunny,0
2022-01-04,S001,P0012,136,66.07,5,Snowy,0
2022-01-04,S001,P0013,31,34.68,10,Sunny,0
2022-01-04,S001,P0014,7,98.28,15,Cloudy,1
2022-01-04,S001,P0015,377,87.24,10,Cloudy,1
2022-01-04,S001,P0016,28,93.4,10,Sunny,0
2022-01-04,S001,P0017,348,53.02,0,Cloudy,1
2022-01-04,S001,P0018,258,58.54,5,Sunny,1
2022-01-04,S001,P0019,41,63.29,15,Sunny,1
2022-01-04,S001,P0020,49,10.93,0,Snowy,1
2022-01-04,S002,P0001,83,45.49,5,Sunny,1
2022-01-04,S002,P0002,60,52.33,10,Cloudy,1
2022-01-04,S002,P0003,448,41.55,15,Rainy,0
2022-01-04,S002,P0004,11,58.13,0,Sunny,1
2022-01-04,S002,P0005,390,25.67,10,Snowy,0
2022-01-04,S002,P0006,81,33.96,0,Sunny,0
2022-01-04,S002,P0007,121,81.35,20,Cloudy,0
2022-01-04,S002,P0008,44,57.34,20,Rainy,0
2022-01-04,S002,P0009,88,50.36,15,Cloudy,0
2022-01-04,S002,P0010,142,51.34,15,Rainy,1
2022-01-04,S002,P0011,48,13.09,20,Snowy,1
2022-01-04,S002,P0012,61,94.85,0,Cloudy,0
2022-01-04,S002,P0013,140,16.47,5,Sunny,0
2022-01-04,S002,P0014,390,82.15,15,Cloudy,1
2022-01-04,S002,P0015,91,61.13,5,Rainy,0
2022-01-04,S002,P0016,32,63.74,10,Snowy,0
2022-01-04,S002,P0017,60,66.78,10,Snowy,1
2022-01-04,S002,P0018,206,30.12,15,Sunny,1
2022-01-04,S002,P0019,108,31.26,10,Sunny,1
2022-01-04,S002,P0020,349,21.47,0,Rainy,0
2022-01-04,S003,P0001,271,81.01,20,Rainy,0
2022-01-04,S003,P0002,202,59.97,5,Snowy,1
2022-01-04,S003,P0003,34,26.87,10,Snowy,0
2022-01-04,S003,P0004,165,99.12,10,Rainy,0
2022-01-04,S003,P0005,2,24.29,5,Rainy,0
2022-01-04,S003,P0006,308,18.48,0,Rainy,1
2022-01-04,S003,P0007,76,54.73,10,Snowy,1
2022-01-04,S003,P0008,91,59.61,5,Rainy,1
2022-01-04,S003,P0009,113,14.64,20,Cloudy,1
2022-01-04,S003,P0010,274,63.63,15,Cloudy,1
2022-01-04,S003,P0011,116,95.99,10,Sunny,0
2022-01-04,S003,P0012,5,75.41,5,Rainy,1
2022-01-04,S003,P0013,115,24.19,15,Rainy,1
2022-01-04,S003,P0014,79,85.33,0,Sunny,1
2022-01-04,S003,P0015,223,15.58,15,Cloudy,0
2022-01-04,S003,P0016,258,19.63,10,Cloudy,1
2022-01-04,S003,P0017,236,53.81,0,Rainy,0
2022-01-04,S003,P0018,309,37.49,20,Cloudy,0
2022-01-04,S003,P0019,32,38.2,0,Rainy,0
2022-01-04,S003,P0020,44,84.13,15,Snowy,1
2022-01-04,S004,P0001,145,20.39,15,Sunny,0
2022-01-04,S004,P0002,150,70.46,20,Sunny,1
2022-01-04,S004,P0003,40,53.13,5,Snowy,1
2022-01-04,S004,P0004,245,82,10,Sunny,1
2022-01-04,S004,P0005,241,75.55,15,Snowy,0
2022-01-04,S004,P0006,138,50.26,0,Cloudy,1
2022-01-04,S004,P0007,152,56.58,5,Cloudy,1
2022-01-04,S004,P0008,12,37.17,10,Rainy,1
2022-01-04,S004,P0009,158,82.75,20,Sunny,1
2022-01-04,S004,P0010,265,23.53,10,Sunny,1
2022-01-04,S004,P0011,240,56.3,5,Sunny,0
2022-01-04,S004,P0012,153,94.09,5,Cloudy,0
2022-01-04,S004,P0013,68,24.53,20,Snowy,1
2022-01-04,S004,P0014,302,70.33,20,Snowy,0
2022-01-04,S004,P0015,70,79.68,5,Rainy,1
2022-01-04,S004,P0016,92,25.69,0,Sunny,0
2022-01-04,S004,P0017,275,25.04,5,Sunny,1
2022-01-04,S004,P0018,3,56.02,15,Sunny,0
2022-01-04,S004,P0019,307,31.39,5,Rainy,1
2022-01-04,S004,P0020,62,86.86,15,Snowy,0
2022-01-04,S005,P0001,195,21.71,20,Rainy,0
2022-01-04,S005,P0002,33,40.56,5,Rainy,1
2022-01-04,S005,P0003,263,29.2,5,Snowy,0
2022-01-04,S005,P0004,83,82.18,20,Cloudy,1
2022-01-04,S005,P0005,78,45.85,15,Sunny,1
2022-01-04,S005,P0006,118,42.08,10,Sunny,0
2022-01-04,S005,P0007,147,51.22,10,Cloudy,1
2022-01-04,S005,P0008,216,62.03,20,Cloudy,0
2022-01-04,S005,P0009,27,36.53,15,Snowy,1
2022-01-04,S005,P0010,172,84.66,5,Rainy,1
2022-01-04,S005,P0011,78,39.15,0,Snowy,1
2022-01-04,S005,P0012,196,45.65,15,Cloudy,1
2022-01-04,S005,P0013,75,40.27,15,Sunny,1
2022-01-04,S005,P0014,11,82.99,15,Snowy,1
2022-01-04,S005,P0015,144,60.15,20,Cloudy,1
2022-01-04,S005,P0016,200,15.19,10,Sunny,0
2022-01-04,S005,P0017,256,37.46,20,Cloudy,1
2022-01-04,S005,P0018,118,34.44,10,Cloudy,0
2022-01-04,S005,P0019,244,84.99,20,Rainy,0
2022-01-04,S005,P0020,54,81.63,10,Rainy,0
2022-01-05,S001,P0001,147,28.46,20,Sunny,1
2022-01-05,S001,P0002,220,79.54,10,Rainy,0
2022-01-05,S001,P0003,97,80.57,5,Rainy,1
2022-01-05,S001,P0004,29,93.53,20,Snowy,1
2022-01-05,S001,P0005,192,46.13,0,Cloudy,0
2022-01-05,S001,P0006,158,60.2,0,Rainy,1
2022-01-05,S001,P0007,8,53.65,5,Cloudy,0
2022-01-05,S001,P0008,42,59.2,5,Snowy,0
2022-01-05,S001,P0009,5,98.03,5,Rainy,0
2022-01-05,S001,P0010,93,32.6,20,Rainy,0
2022-01-05,S001,P0011,44,53.31,5,Sunny,1
2022-01-05,S001,P0012,78,93.96,20,Sunny,0
2022-01-05,S001,P0013,57,83.3,0,Snowy,0
2022-01-05,S001,P0014,161,12.66,15,Rainy,1
2022-01-05,S001,P0015,172,55.77,20,Rainy,1
2022-01-05,S001,P0016,132,30.15,15,Rainy,0
2022-01-05,S001,P0017,46,63.75,5,Snowy,0
2022-01-05,S001,P0018,17,97.51,10,Snowy,0
2022-01-05,S001,P0019,38,49.8,5,Rainy,1
2022-01-05,S001,P0020,11,33.3,10,Rainy,0
2022-01-05,S002,P0001,161,56.24,15,Snowy,1
2022-01-05,S002,P0002,101,43.43,20,Sunny,1
2022-01-05,S002,P0003,263,30.78,10,Snowy,0
2022-01-05,S002,P0004,32,82.85,5,Sunny,0
2022-01-05,S002,P0005,209,87.11,0,Cloudy,1
2022-01-05,S002,P0006,24,56.68,5,Cloudy,0
2022-01-05,S002,P0007,20,80.01,5,Rainy,1
2022-01-05,S002,P0008,148,41.24,0,Cloudy,1
2022-01-05,S002,P0009,100,96.96,5,Cloudy,1
2022-01-05,S002,P0010,129,87.69,20,Snowy,0
2022-01-05,S002,P0011,257,74.45,5,Cloudy,1
2022-01-05,S002,P0012,262,53.28,5,Rainy,0
2022-01-05,S002,P0013,200,25.38,15,Cloudy,1
2022-01-05,S002,P0014,56,23.84,10,Sunny,1
2022-01-05,S002,P0015,24,52.21,20,Cloudy,0
2022-01-05,S002,P0016,105,79.34,20,Cloudy,0
2022-01-05,S002,P0017,294,13.13,15,Snowy,0
2022-01-05,S002,P0018,142,23.28,15,Cloudy,1
2022-01-05,S002,P0019,55,67.3,10,Sunny,1
2022-01-05,S002,P0020,24,17.35,20,Cloudy,1
2022-01-05,S003,P0001,53,93.06,0,Snowy,1
2022-01-05,S003,P0002,189,84.04,20,Cloudy,0
2022-01-05,S003,P0003,146,25.75,0,Rainy,1
2022-01-05,S003,P0004,186,76.32,20,Cloudy,0
2022-01-05,S003,P0005,77,49.52,20,Snowy,1
2022-01-05,S003,P0006,225,93.81,0,Snowy,0
2022-01-05,S003,P0007,66,76.7,10,Rainy,1
2022-01-05,S003,P0008,35,24.28,15,Snowy,1
2022-01-05,S003,P0009,1,13.87,15,Rainy,1
2022-01-05,S003,P0010,95,14.93,10,Sunny,0
2022-01-05,S003,P0011,255,22.22,10,Snowy,1
2022-01-05,S003,P0012,132,57.69,5,Cloudy,0
2022-01-05,S003,P0013,234,80.36,15,Rainy,1
2022-01-05,S003,P0014,42,40.6,10,Rainy,1
2022-01-05,S003,P0015,25,86.8,0,Snowy,0
2022-01-05,S003,P0016,30,30.33,15,Snowy,1
2022-01-05,S003,P0017,28,29.03,0,Snowy,0
2022-01-05,S003,P0018,38,97.97,15,Cloudy,0
2022-01-05,S003,P0019,149,31.18,0,Sunny,1
2022-01-05,S003,P0020,192,65.34,10,Rainy,0
2022-01-05,S004,P0001,198,57.58,10,Cloudy,0
2022-01-05,S004,P0002,83,54.02,20,Rainy,0
2022-01-05,S004,P0003,97,69.96,10,Snowy,1
2022-01-05,S004,P0004,173,51.07,5,Sunny,1
2022-01-05,S004,P0005,69,99.12,20,Rainy,1
2022-01-05,S004,P0006,256,77.59,15,Sunny,0
2022-01-05,S004,P0007,246,87.6,10,Snowy,0
2022-01-05,S004,P0008,332,43.67,15,Cloudy,1
2022-01-05,S004,P0009,325,89.52,0,Rainy,0
2022-01-05,S004,P0010,53,12.89,0,Snowy,1
2022-01-05,S004,P0011,17,92.7,5,Sunny,0
2022-01-05,S004,P0012,223,31.47,20,Snowy,0
2022-01-05,S004,P0013,95,89.52,0,Cloudy,0
2022-01-05,S004,P0014,225,54.44,20,Sunny,0
2022-01-05,S004,P0015,216,21.75,15,Sunny,0
